аэропорты, аэропОрты, аэропортЫ
влиться, влИться, влитьсЯ
ворвалась, ворвалАсь, ворвАлась
ворваться, ворвАться, ворватьсЯ
воспринять, воспринЯть, воспрИнять
восприняла, воспринялА, воспрИняла
воссоздала, воссоздалА, воссОздала
воссоздать, воссоздАть, воссОздать
вручит, вручИт, врУчит
вручить, вручИть, врУчить
гнала, гналА, гнАла
гналась, гналАсь, гнАлась
добрала, добралА, добрАла
добралась, добралАсь, добрАлась
дождалась, дождалАсь, дождАлась
дозвонится, дозвонИтся, дозвОнится
дозировать, дозИровать, дозировАть
ждала, ждалА, ждАла
жилось, жилОсь, жИлось
закупорить, закУпорить, закупОрить
занять, занЯть, зАнять
занял, зАнял, занЯл
заняла, занялА, занЯла
заняли, зАняли, занЯли
заперла, заперлА, зАперла
запломбировать, запломбировАть, запломбИровать
защемит, защемИт, защЕмит
звала, звалА, звАла
звонит, звонИт, звОнит
кашлянуть, кАшлянуть, кашлянУть
клала, клАла, клалА
клеить, клЕить, клеИть
кралась, крАлась, кралАсь
кровоточить, кровоточИть, кровотОчить
лгала, лгалА, лгАла
лила, лилА, лИла
лилась, лилАсь, лИлась
наврала, навралА, наврАла
наделит, наделИт, надЕлит
надорвалась, надорвалАсь, надорвАлась
назвалась, назвалАсь, назвАлась
накренится, накренИтся, накрЕнится
налила, налилА, налИла
нарвала, нарвалА, нарвАла
начать, начАть, нАчать
начал, нАчал, начАл
начала, началА, нАчала
начали, нАчали, начАли
обзвонит, обзвонИт, обзвОнит
обзвонить, обзвонИть, обзвОнить
облегчить, облегчИть, облЕгчить
облегчит, облегчИт, облЕгчит
облилась, облилАсь, облИлась
обнялась, обнялАсь, обнЯлась
обогнала, обогналА, обогнАла
ободрала, ободралА, ободрАла
ободрит, ободрИт, обОдрит
ободриться, ободрИться, обОдриться
ободрится, ободрИтся, обОдрится
обострить, обострИть, обОстрить
одолжить, одолжИть, одОлжить
одолжит, одолжИт, одОлжит
озлобить, озлОбить, озлобИть
оклеить, оклЕить, оклеИть
окружит, окружИт, окруУжит
окружить, окружИть, окрУжить
опошлить, опОшлить, опошлИть
осведомиться, освЕдомиться, осведомИться
осведомится, освЕдомится, осведомИтся
отбыла, отбылА, отбЫла
отбыть, отбЫть, Отбыть
отдала, отдалА, отдАла
откупорить, откУпорить, откупОрить
отозвала, отозвалА, отозвАла
отозвалась, отозвалАсь, отозвАлась
перезвонит, перезвонИт, перезвОнит
перелила, перелилА, перелИла
плодоносить, плодоносИть, плодонОсить
пломбировать, пломбировАть, пломбИровать
повторит, повторИт, повтОрит
повторить, повторИть, повтОрить
позвала, позвалА, позвАла
позвонит, позвонИт, позвОнит
полила, полилА, полИла
положить, положИть, полОжить
положил, положИл, полОжил
понять, понЯть, пОнять
поняла, понялА, пОняла
послала, послАла, послалА
прибыть, прибЫть, прИбыть
прибыл, прИбыл, прибЫл
прибыла, прибылА, прИбыла
прибыли, прИбыли, прибылИ
принять, принЯть, прИнять
принял, прИнял, принЯл
приняла, принялА, прИняла
приняли, прИняли, принЯли
рвала, рвалА, рвАла
сверлит, сверлИт, свЕрлит
сверлить, сверлИть, свЕрлить
сняла, снялА, снЯла
соврала, совралА, соврАла
создала, создалА, создАла
сорвала, сорвалА, сорвАла
сорит, сорИт, сОрит
сорить, сорИть, сОрить
убрала, убралА, убрАла
углубить, углубИть, углУбить
укрепит, укрепИт, укрЕпит
укрепить, укрепИть, укрЕпить
черпать, чЕрпать, черпАть
щемит, щемИт, щЕмит
щемить, щемИть, щЕмить
щелкать, щЕлкать, щелкАть
довезенный, довезЕнный, довЕзенный
загнутый, зАгнутый, загнУтый
занятый, зАнятый, занЯтый
занята, занятА, занЯта
запертый, зАпертый, запЕртый
заселенный, заселЕнный, засЕленный
заселена, заселенА, засЕлена
кормящий, кормЯщий, кОрмящий
кровоточащий, кровоточАщий, кровотОчащий
наживший, нажИвший, нАживший
наливший, налИвший, нАливший
нанявшийся, нанЯвшийся, нАнявшийся
начавший, начАвший, нАчавший
начатый, нАчатый, начАтый
низведенный, низведЕнный, низвЕденный
облегченный, облегчЕнный, облЕгченный
ободренный, ободрЕнный, обОдренный
обостренный, обострЕнный, обОстренный
отключенный, отключЕнный, отклЮченный
повторенный, повторЕнный, повтОренный
поделенный, поделЕнный, подЕленный
понявший, понЯвший, пОнявший
принятый, прИнятый, принЯтый
принята, принятА, прИнята
прирученный, приручЕнный, прирУченный
проживший, прожИвший, прОживший
снята, снятА, снЯта
согнутый, сОгнутый, согнУтый
углубленный, углублЕнный, углУбленный
закупорив, закУпорив, закупОрив
начав, начАв, нАчав
начавшись, начАвшись, нАчавшись
отдав, отдАв, Отдав
подняв, поднЯв, пОдняв
поняв, понЯв, пОняв
прибыв, прибЫв, прИбыв
создав, создАв, сОздав
вовремя, вОвремя, воврЕмя
доверху, дОверху, довЕрху
донельзя, донЕльзя, дОнельзя
донизу, дОнизу, донИзу
досуха, дОсуха, досУха
засветло, зАсветло, засвЕтло
затемно, зАтемно, затЕмно
красивее, красИвее, красивЕе
надолго, надОлго, нАдолго
ненадолго, ненадОлго, ненАдолго
